一般的な製品番号,略称,ふりがな,出典,証（表裏・寒熱・虚実）,六病位 ／  虚実,脈,舌,腹,漢方弁証,中医弁証
5,安中散,あんちゅうさん,和剤局方,裏・寒・虚,太陰病 ／  虚証,やや軟・やや弱・沈細遅扎,無苔または湿潤して微白苔,腹力やや軟、腹壁薄く弛緩性,脾胃の虚寒および気鬱とお血による胃痛や腹痛、月経痛。,温中散寒・止痛・止嘔・制酸
115,胃苓湯,いれいとう,万病回春,半・中・中,少陽病 ／ 虚実中間,緩・やや浮,乾湿中間で白がある,腹力中等度、多くは腹満して心下痞硬,湿困脾胃。表証があり、水性下痢や浮腫を伴うもの。,理気化湿・利水止瀉
135,茵ちん蒿湯,いんちんこうとう,傷寒論、金匱要略,裏・熱・実,少陽病から陽明病 ／ 実証,沈緊、沈遅、沈細、微沈、滑数、浮沈の中間,紅舌、乾燥して微白苔またはは微黄苔,腹力あり、腹微満の傾向、心下部が膨満、心下痞硬,肝胆湿熱。口が苦い、ねばる、渇くが水分を欲しない、体の熱感、頭汗、イライラ、悪心、嘔吐、食欲不振、油っこいものが苦手、胸腹部の膨満感、尿が濃い、便秘または便がスッキリでない、ひどければ全身の黄疸、発熱など,清熱利湿・退黄
117,茵ちん五苓散,いんちんごれいさん,金匱要略,裏・熱・中,少陽病 ／  虚実中間,浮弱・浮 浮数・軟・滑・沈,紅舌、乾燥して微白苔または微黄苔,腹力やや軟、軽度の腹満あり、心下部膨満・心下痞硬・上腹部に振水音,脾胃湿熱。悪心、嘔吐、食欲不振、口がねばる、油っこいものが苦手、口渇、軟便、腹部膨満感、尿量減少、ひどければ黄疸を伴う。,清熱利水・退黄
106,温経湯,うんけいとう,金匱要略,裏・寒・虚,太陰病 ／ 虚証,軟弱,湿潤して無,腹力軟、臍傍の圧痛,下焦の虚寒・お血・血虚。下腹部や腰の冷えおよび疼痛、腹が張る、下肢の冷え、上熱下寒などの下焦の虚寒とお血の症候に、皮膚につやがない、口唇の乾燥、目が疲れる、頭がふらつく、手足のしびれなどの血虚の症候を伴う。手のひらのほてり、夕方に微熱などの陰虚火旺の症候があることも。,温経散寒・補血調経・活血化お・益気和胃（温経散寒・補血）
57,温清飲,うんせいいん,万病回春,裏・熱・中,少陽病から太陰病 ／  虚実中間,脈力中等度から弱,紅舌、乾湿中間で白苔,腹力中等度以下、心下痞硬,血虚・血熱。皮膚につやがない、頭がふらつく、目がかすむ、手足のしびれ、爪がもろい、筋肉の引きつりなどの血虚の症候と、のぼせ、ほてり、イライラ、不眠、目の充血、口渇などの熱証、鼻出血、不正性器出血、下血など鮮紅色の出血、や、発疹または皮膚炎、口内炎などが生じるもの。,清熱瀉火・解毒・補血活血・止血
28,越婢加朮湯,えっぴかじゅつとう,金匱要略,表・熱・実,少陽病から太陽病 ／ 実証,沈やや力あり沈数沈緊数、稀に浮洪,紅舌、微白苔または黄苔,腹力中等度、微満または膨満,風水。全身の浮腫と尿量減少、浮腫は顔面から全身まで。皮膚には光沢があり、押すとへこむがすぐに元に戻る。（実証の浮腫）初期には発熱、悪風、咽痛、咳嗽などの表証を伴うことも。,宣肺利水・健脾
98,黄耆建中湯,おうぎけんちゅうとう,金匱要略,裏・寒・虚,太陰病から少陰病 ／ 顕著な虚証,細弱細数・浮弱,湿潤して無苔,腹力軟弱で、腹直筋は緊張するが按圧すると力がない,気虚の腹痛。小建中湯証に自汗、息切れ、食欲不振、疲れやすい、元気がないなどの気虚の症候があるもの。,補気固表・緩急止痛・温中補虚
121,黄ごん湯,おうごんとう,傷寒論,半・熱・実,少陽病  ／  実証,浮やや緊・浮やや弱・弦,やや乾燥し、時に微白苔,腹力中等度、心下痞、腹筋の緊張,心下の熱証による心下痞、腹痛、下痢、発熱などがあるもの。,清熱瀉火・解毒・清熱化湿
15,黄連解毒湯,おうれんげどくとう,外台秘要,裏・熱・実,少陽病 ／ 虚実中間からやや実証,脈力中等度,乾湿中間、白苔,腹力中等度よりやや実、心下痞,"心火旺・肝胆火旺・胃熱。イライラ、のぼせ、顔面紅潮、目の充血、口臭、口が苦い、口渇、口内炎、動悸、頭がさえて眠れない、気分が落ち着かない、胸脇部が脹って苦しい、上腹部痛、悪心などの症候。
上焦の熱証、血熱。高熱、顔面紅潮、目の充血、熱感、口や咽のかわき、口が苦い、イライラ、転々反側、不眠などで、ひどければ意識障害、狂躁状態。",清熱瀉火・解毒・清熱化湿・止血
120,黄連湯,おうれんとう,傷寒論,半・寒熱・中,少陽病 ／ 虚実中間,弦数・弦細・時に緩・ 浮緊・数,湿潤して厚い白苔、舌根部は黄色を帯びる,比較的に軟で微満、心下痞硬,脾胃不和に腹痛を伴うもの。胃熱。,和胃降逆・消痞止痛・止瀉・清熱・調和腸胃
3,乙字湯,おつじとう,叢桂亭藏方,裏・熱・実,少陽病 ／ 実証から虚実中間,特に異常なし,乾燥した白苔,腹力中等度、臍傍の圧痛、時に軽い胸脇苦満,脱肛、痔核。熱証。,升提・緩急・清熱化湿
S-07,葛根加朮附湯,かっこんかじゅつぶとう,吉益東洞経験方,表・寒・実,太陽病或いは太陰病 ／ 実証,,,,寒証による四肢痛・冷え、表の水毒・寒証による手足や頸部のこわばり、悪寒など。,辛温解表・生津・散寒去湿・止痙・解表
1,葛根湯,かっこんとう,傷寒論、金匱要略,表・寒・実,太陽病 ／  実証,浮で力あり・浮数緊・浮緊緊で力あり,やや乾燥して無苔,腹力中等度以上,表寒・表実。,辛温解表・生津・舒筋
2,葛根湯加川きゅう辛夷,かっこんとうかせんきゅうしんい,本朝経験方,表・寒・実,太陽病 ／ 実証,浮やや実,乾燥して無苔,腹力中等度以上,表寒・表実に上焦の湿証による濃い鼻水と後鼻漏を伴う。,辛温解表・排膿・通竅
137,加味帰脾湯,かみきひとう,済生全書,裏・熱・虚,"太陰病から少陽病,虚証",やや軟・やや弱,湿潤して微白苔,やや軟、時に臍上悸・臍下悸がある,心脾両虚の肝火旺。疲れやすい、元気がない、倦怠感、息切れ、食欲不振、腹が張る、軟便などの脾気虚に、健忘、頭がふらつく、めまい、動悸、眠りが浅い、多夢などの心血虚がみられるもので、イライラ、のぼせ、ほてり、胸苦しいなどの肝火旺の症候を伴う。,気血双補・補脾・養心安神・疏肝清熱
24,加味逍遙散,かみしょうようさん,和剤局方,半・熱・やや虚,少陽病 ／ 虚実中間から虚証,弦やや弱・ 沈弱,乾湿中間で微白苔,腹力やや軟、しばしば上腹部振水音・胸脇苦満、時に臍傍の抵抗と圧痛,肝気鬱結・気血両虚の逍遙散に、のぼせ、イライラ、ほてりなどの熱証を伴うもの。,疏肝解欝・健脾補血・瀉火・調経
401,甘草湯,かんぞうとう,傷寒論,半・中・中,陰陽虚実にわたり広く用いる ,微細沈細・やや軟弱,無苔または微白苔,多くは腹力中等度、腹直筋の緊張,,
72,甘麦大棗湯,かんばくたいそうとう,金匱要略,裏・熱・虚,少陽病から太陰病 ／  虚実中間からやや虚証,やや軟・細,淡白舌、微白苔または無苔,腹力やや軟、腹直筋の緊張,臓躁。不安感、悲哀感、驚きやすい、寝つきが悪い、眠りが浅い、頭がボーッとするなどの心血虚の症候に、食が細い、あくびがよく出るなどの脾虚の症候を伴うもの。,心安神・健脾緩中
324,桔梗石膏,ききょうせっこう,本朝経験方,表・熱・実,,,,,消炎・鎮咳・去痰・咽痛・排膿,清熱解毒・瀉火
138,桔梗湯,ききょうとう,傷寒論、金匱要略,半・熱・中,少陽病 ／ 虚実中間,やや軟で数,乾湿中間、微白苔,腹力中等度,肺熱。咳嗽、喀痰、咽痛など。,清熱解毒・去痰排膿
65,帰脾湯,きひとう,済生方,裏・寒・虚,太陰病 ／  虚証,やや軟沈微微弱,湿潤して白苔,やや軟,心脾両虚。疲れやすい、倦怠感、元気がない、息切れ、食欲不振、腹が張る、軟便や水様便などの脾気虚の症候と、健忘、頭がふらつく、ボーッとする、めまい感、動悸、眠りが浅い、多夢などの心血虚の症候が見られる。,気血双補・補脾・養心安神
77,きゅう帰膠艾湯,きゅうききょうがいとう,金匱要略,裏・寒・虚,太陰病 ／ 虚証,弱 沈弱,湿潤して無苔、時に乾燥,軟軟弱、陥凹傾向、下腹部に圧痛,顔色が悪い、皮膚につやがない、目が疲れる、しびれ、筋肉の引きつり、頭がボーッとするなどの血虚の症候を伴う出血。不正性器出血など。,補血止血・調経安胎
230,きゅう帰調血飲,きゅうきちょうけついん,万病回春,裏・寒・虚,太陰病 ／  虚証,,,,血虚・お血による産後の悪露や貧血。時に熱証によるイライラやのぼせ、脾虚による体力や食欲の低下を伴う。,補血活血・健脾利水・調経止痛・補気健脾・理気去痰
311,九味檳榔湯,くみびんろうとう,浅田方函,裏・中・やや実,少陰病から太陰病 ／ 虚実中間からやや実証,促脈,微白苔より白苔、歯痕がある場合もあり,腹力中等度よりわずかに軟、起立時に心下痞満,寒湿脚気。胸・腹部の気滞,理気降逆・逐お・瀉下・解欝・利水
50,荊芥連翹湯,けいがいれんぎょうとう,一貫堂医学,半・熱・中,少陽病 ／  虚実中間,弦やや緊,乾湿中間、白苔,腹力中等度、腹直筋の緊張、腹診をくすぐったがる,"肝鬱・風熱。皮膚につやがない、頭がふらつく、目がかすむ、爪がもろい、手のしびれ、筋肉の引きつれなどの血虚の症候に、のぼせ、ほてり、イライラ、不眠、目の充血、口渇の熱証や、鼻出血、発疹や皮膚炎、口内炎などの熱証を伴うもの。ゆううつ感、イライラ、怒りっぽい、頭痛、などの肝気鬱結の症候も。
※一貫堂医学の解毒証体質の青年期向け（幼少期は柴胡清肝湯、中年期以降は竜胆瀉肝湯）",清熱解毒・疏肝解欝・凉血止血・解表
TY-026,桂枝加黄耆湯,けいしかおうぎとう,金匱要略,表・中・虚,太陽病 ／  虚証,浮弱・浮虚・浮洪弱・沈遅,乾湿中間,やや軟,体力がなく悪寒、頭痛、身体痛などがあり、動くと汗が出る、風邪をひきやすい体質,辛温解肌・調和営衛・固表止汗
TY-027,桂枝加葛根湯,けいしかかっこんとう,傷寒論,表・寒・虚,太陽病 ／  虚証,浮数 浮数弱・浮緩,著変なし,やや軟、時に腹直筋の緊張,虚弱な者の風邪の初期で肩こりや頭痛のある場合,辛温解表、調和営衛、舒肌
TY-028,桂枝加厚朴杏仁湯,けいしかこうぼくきょうにんとう,傷寒論,表・寒・虚,太陽病の虚証時に太陰病の虚証,浮やや弱・浮弱数・浮弱・やや軟,著変なし,やや軟、腹痛時には腹直筋の強い緊張,風寒型喘息・咳,辛温解表・止咳
134,桂枝加芍薬大黄湯,けいしかしゃくやくだいおうとう,傷寒論,裏・中・実,太陰病 ／  実証,脈力中等度からやや弱・浮緩・浮やや力あり等,乾湿中間で微白苔,腹力中等度からやや軟、腹部の膨満、腹直筋の緊張,脾虚または気血不足のものの腹痛。顔色がさえない、やや疲れやすい、食が細い、腹満感、腹痛便秘または熱痢あるもの。慢性便秘にも、急性下痢にも用いられる。,緩急止痛・温中散寒・通便
60,桂枝加芍薬湯,けいしかしゃくやくとう,傷寒論,裏・中・虚,太陰病 ／  虚証,弱,乾湿中間、微白苔,腹力やや軟から軟、腹壁薄い、腹直筋の緊張,脾虚または気血不足のものの腹痛。顔色がさえない、やや疲れやすい、食が細い、腹満感、腹痛があるもの。,緩急止痛・温中補虚
18,桂枝加(苓)朮附湯,けいしか(りょう)じゅつぶとう,傷寒論,表・寒・虚,太陽病あるいは少陰病 ／  虚証,浮弱・浮軟・浮遅,湿潤して無苔、時に微白苔,やや軟,寒湿痺。朮附湯（朮、附子） の散寒去湿効果で寒湿痺によるしびれ、痛み、冷えによる悪化を治す。浮腫があれば茯苓を配合して利尿を強める。,散寒去湿・止痙・解表
26,桂枝加竜骨牡蛎湯,けいしかりゅうこつぼれいとう,金匱要略,裏・寒・虚,少陽病 ／ 虚証,浮弱,湿潤傾向,腹力やや軟から軟、下腹部の腹直筋の緊張、引きつれ(小腹弦急)、腹部大動脈の拍動亢進,気血不足・虚陽浮越。不安感、不眠、動悸、多夢、夢精などの虚陽浮越の症状に、元気がない、食が細い、しびれ、顔色がわるいなどの気血不足を伴うもの。,安神・通陽・気血双補・調和栄衛
45,桂枝湯,けいしとう,傷寒論、金匱要略,表・寒・虚,太陽病の虚証時に太陰病の虚証,浮弱・浮弱数,著変なし,やや軟、時に腹直筋の緊張,表寒表虚。悪風、自汗、発熱、頭痛、身体痛、鼻閉、水様鼻汁、くしゃみなどの症状。,辛温肌解・調和営衛
82,桂枝人参湯,けいしにんじんとう,傷寒論,裏・寒・虚,太陰病 ／ 虚証,浮弱・浮遅・浮緩・浮弱数・浮数,湿潤して微白苔、または著変なし,腹力やや軟、心下痞硬、心下悸や臍上悸・臍下悸、時に上腹部の振水音,脾胃虚寒で表寒を伴う感冒、頭痛、下痢。,温中散寒・健脾益気・辛温解表
25,桂枝茯苓丸,けいしぶくりょうがん,金匱要略,半・中・中,少陽病 ／ 実証から虚実中間,脈力中等度、沈遅沈渋で緊張がある,紫紅色、乾燥した白苔,腹力中等度、下腹部に抵抗と圧痛(小腹硬満),下焦のお血。下腹部の痛みや圧痛抵抗、または腫瘤、月経不順、月経困難、不正性器。一般的なお血に用いてもよい。,活血化お・消塊
125,桂枝茯苓丸加よく苡仁,けいしぶくりょうがんかよくいにん,本朝経験方,半・中・中,少陽病 ／ 実証から虚実中間,脈力中等度、沈遅沈渋で緊張がある,紫紅色、乾燥した白苔,腹力中等度、下腹部に抵抗と圧痛(小腹硬満),桂枝茯苓丸証に炎症、腫瘤などを伴うもの。,活血化お・消塊・消炎消腫
180,桂芍知母湯,けいしゃくちもとう,金匱要略,裏・寒・虚,太陰病から少陰病 ／  虚実中間からやや虚証,浮数でやや力あり・浮弱・微弱・沈で力あり,口舌乾燥、またはやや湿潤し、多くは無苔時に白苔,少しく陥凹して軟、時に腹直筋の緊張がある,水毒・寒証による激しい関節痛、関節腫脹、寒がり。熱傷による患部の熱感、自汗。虚証による疲労倦怠。,去風湿・散寒・止痛
128,啓脾湯,けいひとう,万病回春,裏・寒・虚,太陰病 ／  虚証,軟弱,無苔,初期は腹力中等度からやや軟、慢性期は軟弱無力,脾胃気虚の下痢。軟便、水様便または不消化下痢。,補気健脾・理気去痰・止瀉
TY-037,桂麻各半湯,けいまかくはんとう,傷寒論,表・寒・中,太陽病 ／  虚実中間,浮で脈力中等度やや浮やや弱・浮で力あり・浮やや数,著変なし,腹力中等度で著変なし,表寒証（発熱・悪寒・頭痛・関節痛・脈浮）,辛温解表・調和営衛・止咳平喘・発汗解表
70,香蘇散,こうそさん,和剤局方,裏・寒・やや虚,太陰病 ／ やや虚証,浮弱・沈,乾湿中間、微白苔,腹力やや軟、心下痞、時に心下痞硬、臍傍に大動脈拍動亢進,脾胃気滞による腹が張る、腹痛、悪心、嘔吐。気滞を伴う表寒感冒による頭痛、悪寒、無汗、身体痛。脾胃気滞を伴う症状全般。,理気和胃・理気解表
95,五虎湯,ごことう,万病回春,表・熱・実,少陽病 ／  実証,弦・やや浮・ やや緊,乾燥した白苔,腹力中等度,肺熱の喘咳。咳嗽、呼吸困難、呼吸促迫、口渇、熱感、発熱、無汗または有汗などの症候。（麻杏甘石湯＋桑白皮）,清肺平喘・止咳・消炎鎮咳
63,五積散,ごしゃくさん,和剤局方,表裏・寒・虚,太陰病 ／ 虚証,弦やや浮沈,乾湿中間で微白苔,やや軟から軟、心下痞硬または痞満,表寒・寒湿困脾による悪寒、発熱、頭痛、関節痛、悪心、嘔吐、下痢、腹部膨満、腹痛、腹や四肢の冷え。冷房など寒冷の環境によって生じる身体の冷え、悪寒、頭痛、四肢の痺れ、筋肉痛など。,温中散寒・理気化湿・補血活血・辛温解表・通絡調経
107,牛車腎気丸,ごしゃじんきがん,済生方,裏・寒・虚,太陰病 ／ 虚証,動脈硬化症にみられる硬い脈,紅舌、微白苔または無苔,腹力やや軟から軟、臍下不仁が必発、しばしば下腹部の腹直筋の緊張(小腹拘急)、時に心下痞硬、臍傍の動悸亢進,腎陽虚の水腫。八味地黄丸の症候に、下半身の水腫やだるさを伴うもの。,温補腎陽・利水
31,呉茱萸湯,ごしゅゆとう,傷寒論、金匱要略,裏・寒・虚,太陰病 ／  虚証,沈沈弱・沈遅・微沈・微緩・微細・浮弱・浮細,湿潤して微白苔,腹力やや軟から軟、時に軟弱、心下部膨満または陥凹、心下痞硬,胃虚寒の嘔吐、食べると吐き気がする、吃逆、よだれ、上腹部の痞や膨満感。寒飲上逆による発作性に生じる頭痛、悪心または嘔吐、首筋からこめかみの凝り、めまい感。,散寒止嘔・温胃止痛・健脾益気
56,五淋散,ごりんさん,和剤局方,裏・熱・中,少陽病 ／ 虚実中間, やや弱・滑数,紅舌、微白苔から黄苔,腹力中等度以下,熱淋、強い尿路の炎症。利尿、抗菌、消炎作用などにより治す。,清熱利水・活血止痛
17,五苓散,ごれいさん,傷寒論、金匱要略,半・中・中,少陽病 ／  虚実中間,浮 浮数・浮弱洪数・浮滑,微白苔または白苔,腹力中等度からやや軟、心下痞硬、上腹部に振水音,水湿による悪風、微熱、尿量減少、口渇、水を飲むとすぐに大量に嘔吐する、水様の嘔吐または下痢、浮腫、めまい感、腹部の動悸、身体が重いなど。,利水滲湿・通陽・解表
73,柴陥湯,さいかんとう,本朝経験方,半・熱・中,少陽病 ／ やや実証,弦・細緊やや実,微白苔または白苔,腹力中等度、心下痞硬、多くは胸脇苦満,半表半裏証に、咳嗽、胸痛、黄色粘稠な喀痰、などの熱証を伴うもの。,和解半表半裏・清熱去痰
12,柴胡加竜骨牡蛎湯,さいこかりゅうこつぼれいとう,傷寒論,半・熱・やや実（やや虚）,少陽病 ／ やや実証,実・弦・ 緊・ やや沈緊・数,乾燥した白苔,腹力やや充実、胸脇苦満、心下痞硬、臍上悸・臍下悸。心下部が抑肝散では筋ばり、本方では膨満する傾向,心肝火旺・脾気虚・痰湿。イライラ、不眠、多夢、驚きやすい、動悸、のぼせ、胸脇部が脹って苦しいなどの心肝火旺に、疲れやすい、食欲不振、悪心、腹部膨満感などの脾気虚、むくみ、尿が少ないなどの痰湿を伴うもの。,清熱安神・補気健脾・去痰止嘔
11,柴胡桂枝乾姜湯,さいこけいしかんきょうとう,傷寒論、金匱要略,半・中・虚,少陽病から太陰病 ／ 虚証,沈弱・沈弦細・弦細・弦弱・弦遅・弦緊・弱・浮弱・浮細・浮数, 無苔または微白苔,腹力やや軟、心下部および季肋下は陥凹してやや抵抗、時に自他覚的に膨満するが触診すると軟らかい,津液不足、裏寒を伴う半表半裏証で、肝鬱化火・胃寒を伴う。,和解半表半裏・温裏去寒・疏肝解欝・安神・潤燥
10,柴胡桂枝湯,さいこけいしとう,傷寒論、金匱要略,やや表・熱・やや虚,太陽病と少陽病の併病 ／ やや虚証,弦やや浮 浮弦弱 稀に浮緩,やや乾燥して微白苔,腹力やや軟、胸脇苦満、心下支結,半表半裏証（少陽病） に頭痛、悪風、身体痛などの表寒（太陽病） を伴うもの、および肝鬱化火・脾気虚・痰湿を兼ねるもの。,和解半表半裏・解表・疏肝解鬱・補気健脾・和胃止嘔
80,柴胡清肝湯,さいこせいかんとう,一貫堂医学,半・熱・中,少陽病 ／ 虚実中間,弦やや弱,乾湿中間で微白苔,腹力やや軟、腹直筋の異常緊張、時に胸脇苦満や心下痞硬,"上焦の熱証・燥証による上腹部知覚過敏や皮膚が浅黒い状態、腹直筋が緊張して触られるのを嫌がる、怒りやすいまたは精神不安定などの症状。
※一貫堂医学の解毒証体質の小児向け（青年期は荊芥連翹湯、中年期以降は竜胆瀉肝湯）",清熱解毒・去風排膿・養血・止血
